queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
20000,0,0
18372,1628,45584
17040,2960,82880
16226,3774,105672
15449,4551,127428
11564,8436,236208
10491,9509,266252
8715,11285,315980
8086,11914,333592
7864,12136,339808
27642,12358,346024
27457,12543,351204
27272,12728,356384
26976,13024,364672
24756,15244,426832
22647,17353,485884
22610,17390,486920
22314,17686,495208
21241,18759,525252
20834,19166,536648
40168,19832,555296
40168,19832,555296
37985,22015,616420
34951,25049,701372
34544,25456,712768
34322,25678,718984
33804,26196,733488
33730,26270,735560
32879,27121,759388
31843,28157,788396
51140,28860,808080
50807,29193,817404
49660,30340,849520
49586,30414,851592
48476,31524,882672
46552,33448,936544
42519,37481,1049468
41298,38702,1083656
39744,40256,1127168
39744,40256,1127168
58634,41366,1158248
57117,42883,1200724
54194,45806,1282568
50198,49802,1394456
47830,52170,1460760
44944,55056,1541568
44833,55167,1544676
44167,55833,1563324
43945,56055,1569540
41725,58275,1631700
60911,59089,1654492
59468,60532,1694896
57914,62086,1738408
57877,62123,1739444
55324,64676,1810928
54843,65157,1824396
54436,65564,1835792
49219,70781,1981868
48035,71965,2015020
44483,75517,2114476
63151,76849,2151772
61967,78033,2184924
60117,79883,2236724
60006,79994,2239832
54234,85766,2401448
53531,86469,2421132
51385,88615,2481220
49535,90465,2533020
49424,90576,2536128
49017,90983,2547524
67685,92315,2584820
67019,92981,2603468
66316,93684,2623152
64947,95053,2661484
64910,95090,2662520
64059,95941,2686348
63615,96385,2698780
63430,96570,2703960
63134,96866,2712248
60877,99123,2775444
80766,99234,2778552
79397,100603,2816884
77029,102971,2883188
76622,103378,2894584
76585,103415,2895620
75845,104155,2916340
74587,105413,2951564
73921,106079,2970212
71775,108225,3030300
71331,108669,3042732
90406,109594,3068632
89185,110815,3102820
87261,112739,3156692
86558,113442,3176376
86521,113479,3177412
85966,114034,3192952
85818,114182,3197096
83931,116069,3249932
82969,117031,3276868
81119,118881,3328668
100823,119177,3336956
100379,119621,3349388
99528,120472,3373216
98714,121286,3396008
98677,121323,3397044
97419,122581,3432268
95051,124949,3498572
94866,125134,3503752
91314,128686,3603208
88243,131757,3689196
107651,132349,3705772
106134,133866,3748248
103803,136197,3813516
103396,136604,3824912
100954,139046,3893288
99215,140785,3941980
98327,141673,3966844
98031,141969,3975132
95293,144707,4051796
94997,145003,4060084
114516,145484,4073552
114294,145706,4079768
114294,145706,4079768
114035,145965,4087020
113850,146150,4092200
112555,147445,4128460
111075,148925,4169900
110816,149184,4177152
109817,150183,4205124
109743,150257,4207196
128670,151330,4237240
126524,153476,4297328
126339,153661,4302508
121270,158730,4444440
118939,161061,4509708
115979,164021,4592588
112834,167166,4680648
112316,167684,4695152
111576,168424,4715872
108727,171273,4795644
