queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
193636,6364,178192
185940,14060,393680
179132,20868,584304
171806,28194,789432
164517,35483,993524
156192,43808,1226624
148644,51356,1437968
130107,69893,1957004
108055,91945,2574460
101136,98864,2768192
294069,105931,2966068
279195,120805,3382540
267059,132941,3722348
255996,144004,4032112
248300,151700,4247600
240974,159026,4452728
232834,167166,4680648
205343,194657,5450396
193429,206571,5783988
185955,214045,5993260
377260,222740,6236720
369601,230399,6451172
350953,249047,6973316
341481,258519,7238532
316691,283309,7932652
304666,295334,8269352
284908,315092,8822576
265631,334369,9362332
238769,361231,10114468
211537,388463,10876964
394554,405446,11352488
387857,412143,11540004
380938,419062,11733736
373686,426314,11936792
366582,433418,12135704
359552,440448,12332544
352448,447552,12531456
345233,454767,12733476
338684,461316,12916848
331543,468457,13116796
524772,475228,13306384
517557,482443,13508404
510416,489584,13708352
503349,496651,13906228
496393,503607,14100996
489215,510785,14301980
482000,518000,14504000
474785,525215,14706020
467755,532245,14902860
460577,539423,15103844
646110,553890,15508920
638821,561179,15713012
619470,580530,16254840
612625,587375,16446500
601636,598364,16754192
583654,616346,17257688
569927,630073,17642044
551632,648388,18154864
531299,668701,18723628
505399,694601,19448828
690895,709105,19854940
677575,722425,20227900
670101,729899,20437172
663182,736818,20630904
656004,743996,20831888
648863,751137,21031836
641611,758389,21234892
634433,765567,21435876
627218,772782,21637896
620040,779960,21838880
811012,788988,22091664
804204,795796,22282288
797174,802826,22479128
790329,809671,22670788
783188,816812,22870736
776195,823805,23066540
769202,830798,23262344
762061,837939,23462292
754883,845117,23663276
747705,852295,23864260
924913,875087,24502436
910668,889332,24901296
897866,902134,25259752
888024,911976,25535328
880476,919524,25746672
872262,927738,25976664
865750,934250,26159000
858535,941465,26361020
851357,948643,26562004
844068,955932,26766096
1037149,962851,26959828
1030119,969881,27156668
1023533,976467,27341076
1016429,983571,27539988
1008400,991600,27764800
1001370,998630,27961640
994007,1005993,28167804
986459,1013541,28379148
979022,1020978,28587384
972251,1027749,28776972
1166294,1033706,28943768
1159782,1040218,29126104
1153640,1046360,29298080
1147165,1052835,29479380
1141356,1058644,29642032
1134918,1065082,29822296
1127925,1072075,30018100
1121154,1078846,30207688
1115012,1084988,30379664
1108833,1091167,30552676
1302062,1097938,30742264
1284117,1115883,31244724
1275792,1124208,31477824
1248893,1151107,32230996
1223141,1176859,32952052
1214372,1185628,33197584
1205381,1194619,33449332
1192912,1207088,33798464
1181294,1218706,34123768
1171674,1228326,34393128
1352915,1247085,34918380
1344590,1255410,35151480
1337005,1262995,35363860
1331344,1268656,35522368
1325239,1274761,35693308
1319134,1280866,35864248
1312770,1287230,36042440
1304186,1295814,36282792
1298044,1301956,36454768
1291236,1308764,36645392
1478952,1321048,36989344
1470812,1329188,37217264
1464855,1335145,37384060
1457640,1342360,37586080
1447465,1352535,37870980
1439843,1360157,38084396
1431629,1368371,38314388
1414683,1385317,38788876
1403065,1396935,39114180
1388783,1411217,39514076
