queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
80000,0,0
79371,629,17612
73081,6919,193732
70047,9953,278684
65681,14319,400932
62018,17982,503496
55543,24457,684796
51843,28157,788396
45442,34558,967624
36562,43438,1216264
114823,45177,1264956
111567,48433,1356124
109532,50468,1413104
103612,56388,1578864
99616,60384,1690752
96175,63825,1787100
92512,67488,1889664
89404,70596,1976688
85741,74259,2079252
84187,75813,2122764
159340,80660,2258480
153568,86432,2420096
149535,90465,2533020
146464,93536,2619008
141913,98087,2746436
134550,105450,2952600
130184,109816,3074848
124449,115551,3235428
120490,119510,3346280
117678,122322,3425016
191980,128020,3584560
187355,132645,3714060
180917,139083,3894324
173665,146335,4097380
168152,151848,4251744
163749,156251,4375028
158495,161505,4522140
155942,164058,4593624
148542,171458,4800824
144583,175417,4911676
221068,178932,5010096
215592,184408,5163424
212040,187960,5262880
207674,192326,5385128
204788,195212,5465936
199904,200096,5602688
194613,205387,5750836
192689,207311,5804708
185030,214970,6019160
182218,217782,6097896
257667,222333,6225324
251266,228734,6404552
244643,235357,6589996
241683,238317,6672876
237983,242017,6776476
235060,244940,6858320
228770,251230,7034440
225958,254042,7113176
214414,265586,7436408
209826,270174,7564872
282352,277648,7774144
276876,283124,7927472
272954,287046,8037288
265776,294224,8238272
260670,299330,8381240
254935,305065,8541820
250532,309468,8665104
249052,310948,8706544
245056,314944,8818432
239950,320050,8961400
315769,324231,9078468
310404,329596,9228688
305668,334332,9361296
301043,338957,9490796
296862,343138,9607864
295752,344248,9638944
288056,351944,9854432
285577,354423,9923844
280508,359492,10065776
278473,361527,10122756
353145,366855,10271940
350481,369519,10346532
345005,374995,10499860
342526,377474,10569272
340306,379694,10631432
334201,385799,10802372
329872,390128,10923584
325469,394531,11046868
321584,398416,11155648
317181,402819,11278932
