queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
5000,0,0
10000,0,0
15000,34,952
20000,34,952
25000,34,952
29524,510,14280
33912,1122,31416
38776,1258,35224
42178,2856,79968
47178,2856,79968
52076,2958,82824
56430,3604,100912
60954,4080,114240
65308,4726,132328
70070,4964,138992
75036,4998,139944
78778,6256,175168
83302,6732,188496
88302,6732,188496
92894,7140,199920
97622,7412,207536
102384,7650,214200
107248,7786,218008
112180,7854,219912
116976,8058,225624
121500,8534,238952
126432,8602,240856
131364,8670,242760
135718,9316,260848
140684,9350,261800
145344,9690,271320
150310,9724,272272
154834,10200,285600
159664,10370,290360
163678,11356,317968
168372,11662,326536
172590,12444,348432
176842,13192,369376
181638,13396,375088
186502,13532,378896
191332,13702,383656
195584,14450,404600
200584,14450,404600
205176,14858,416024
209224,15810,442680
214054,15980,447440
218578,16456,460768
223034,17000,476000
226572,18462,516936
231300,18734,524552
235756,19278,539784
240212,19822,555016
243988,21046,589288
247458,22576,632128
251710,23324,653072
256710,23324,653072
261404,23630,661640
265554,24480,685440
269092,25942,726376
