queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
5000,0,0
10000,0,0
13878,1122,31416
12860,7140,199920
11944,13056,365568
10892,19108,535024
10010,24990,699720
9162,30838,863464
8042,36958,1034824
7228,42772,1197616
6108,48892,1368976
5124,54876,1536528
4106,60894,1705032
2952,67048,1877344
2104,72896,2041088
1086,78914,2209592
68,84932,2378096
0,90000,2520000
5000,90000,2520000
10000,90000,2520000
15000,90000,2520000
17382,92618,2593304
16432,98568,2759904
15414,104586,2928408
14362,110638,3097864
13242,116758,3269224
12258,122742,3436776
11308,128692,3603376
10290,134710,3771880
9204,140796,3942288
8254,146746,4108888
7372,152628,4273584
6354,158646,4442088
5336,164664,4610592
4386,170614,4777192
3810,176190,4933320
3200,181800,5090400
2114,187886,5260808
994,194006,5432168
0,200000,5600000
5000,200000,5600000
10000,200000,5600000
15000,200000,5600000
18232,201768,5649504
17112,207888,5820864
16162,213838,5987464
15110,219890,6156920
13922,226078,6330184
13176,231824,6491072
12124,237876,6660528
11004,243996,6831888
10156,249844,6995632
9172,255828,7163184
8256,261744,7328832
7170,267830,7499240
6254,273746,7664888
5236,279764,7833392
4218,285782,8001896
3268,291732,8168496
